value,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject_id,rt,stimulus,response,typeoftrial,subject,task,domain,tagged_responses,response_times,droppedwords
,call-function,0,0,0.0-0.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,,,,,,,,,,
,html-button-response,1,922,0.0-1.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,921,"
  <p style=""font-size:20px;""> Thank you for taking part in this experiment!</p>
  <p style=""font-size:20px;""> ‎</p>
  <p style=""font-size:22px;""> <strong>This experiment has two tasks:</strong></p>
  <p style=""font-size:18px;""> <u>In the first task</u>, you will be presented the name of a category and must type 
  <p style=""font-size:18px;""> in as many items that correspond to that category as you can within the time limit. </p>
  <p style=""font-size:18px;""> <u>In the second task</u>, you will move each of the words that you typed in the first </p>
  <p style=""font-size:18px;""> task around so that the similar ones are proportionately closer together.</p>
  <p style=""font-size:18px;""> The experiment will consist of only 3 ""trials,"" so please be as accurate/precise as 
  <p style=""font-size:18px;""> possible when typing in items and placing the objects, rather than trying to speed through.</p>
  <p style=""font-size:20px;""> ‎</p>
  <p style=""font-size:18px;""> Before you get started, we just want to get you familiar with the experiment layout. We'll walk you </p>
  <p style=""font-size:18px;""> through a practice verbal fluency and spatial arrangement task and provide more detailed instructions.</p>


  <p style=""font-size:18px;""> When you are ready to start, <strong>press Continue.</strong></p>

  ",0,instructions,34998,,,,,
,html-button-response,2,1642,0.0-2.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,715,"
  <p style=""font-size:22px;""><strong>You are about to perform a verbal fluency task.</strong></p>
  <p style=""font-size:17px;""> In this task, you will be presented the name of a category (e.g., FURNITURE) in capital</p>
  <p style=""font-size:17px;""> letters. Your job is to type in as many items as you can think of that correspond to that</p>
  <p style=""font-size:17px;""> category in 3 minutes. You will be doing this three times on three separate domains.</p> 

  <video width = ""600"" height = ""300"" autoplay muted loop style = ""margin-top: 10px;"">
    <source src = ""VFTTutorial.mp4"" type = ""video/mp4"">
  </video>

  <p style=""font-size:17px;""> After you type in each word, press <strong>ENTER</strong> to type in the next </p>
  <p style=""font-size:17px;""> word. When the timer runs out, you will automatically proceed to the next task.</p>

  <p style=""font-size:17px;""> When you're ready, <strong>press begin</strong> to practice!</p>




  ",0,instructions,34998,,,,,
,html-keyboard-response,3,181646,0.0-3.0-0.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,null,"
    <div id = ""timer-box""></div>
    <div id = ""response-input-box"">
      <p style = ""font-size:30px;"">Name as many items of <strong>FURNITURE</strong> as you can.</p>
      <div id = ""responses"">
        <input type = ""text"" class = ""furniture-practice-response active"" autofocus />
      </div>
      <p id = ""below-input-text"" style = ""font-size: 14px; margin-top: 10px; color: gray; text-align: left;""> press <strong>enter</strong> after each word!</p>
    </div>
    <style>
      #responses {
      position: relative;
      width: 300px;
      height: 40px; 
      }

      .furniture-practice-response {
        position: absolute;
        top: 0;
        left: 0;
        width: 100%;
        font-size: 20px;
        padding: 5px;
        box-sizing: border-box;
        opacity: 0.5;
      } 

      .furniture-practice-response.active {
      opacity: 1;
      z-index: 999;
      }
    </style>
    ",null,,34998,VFT,furniture-practice,"[{""response"":""chair"",""tag"":1},{""response"":""bed"",""tag"":2},{""response"":""couch"",""tag"":3},{""response"":""bench"",""tag"":4}]","[2826.9,1656.6,1800.1,96719]",
,html-button-response,4,217632,0.0-4.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,35980,"
  <p style=""font-size:22px;""> <strong>Now, you will begin a spatial arrangement task.</strong></p>
  <p style=""font-size:17px;""> In this task, you will be shown the set of words you typed in the last verbal fluency task you performed.</p>
  <p style=""font-size:17px;""> We need to know how similar you think these words are to one another. Your job is to move each word</p>
  <p style=""font-size:17px;""> around so that the similar words are proportionately closer together. That is, you should move them into</p>
  <p style=""font-size:17px;""> space such that the distance between each pair of items represents how similar you think the pair is.</p>
  <p style=""font-size:17px;""> (with closer in space meaning more similar, and farther away in space meaning more dissimilar)</p>

  <video width = ""600"" height = ""400"" autoplay muted loop style = ""margin-top: 10px;"">
    <source src = ""SpAMTutorial.mp4"" type = ""video/mp4"">
  </video>

  <p style=""font-size:17px;""> The words will appear one by one in the top left corner of a box. You can move the words by simply</p>
  <p style=""font-size:17px;""> click/dragging them. If the words seem similar, place them close together, if they seem dissimilar,</p>
  <p style=""font-size:17px;""> place them farther away from each other. You will be doing this three times on three separate domains,</p> 
  <p style=""font-size:17px;""> with a different set of words each time, based the words you typed in the corresponding verbal fluency </p>
  <p style=""font-size:17px;""> task. After dragging each word, the next word will appear. You may rearrange previously placed items.</p>
  <p style=""font-size:17px;""> Note, to complete the trial, <u>all items</u> must be moved into the ""active arena,"" the large central box. </p>
  <p style=""font-size:17px;""> When you are finished arranging the space, click on the little Continue button at the bottom of the screen.</p>
  
    <p style=""font-size:5px;""> ‎</p>

  <p style=""font-size:17px;""> Let's continue with our practice round!</p>
  <p style=""font-size:17px;""> When you're ready, <strong>press begin.</strong></p>

  ",0,instructions,34998,,,,,
,html-button-response,5,229209,0.0-5.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,11575,"
        <p style=""font-size:20px;"">Arrange each word to the drop box below based on how related they are to one another.</p> 
        <p style=""font-size:18px;"">A new word will appear after <strong>each word</strong> you move.</p>
        <p style=""font-size:17px;""> When you are finished arranging the space, click on the little Continue button at the bottom of the screen.</p>
        <div id=""word-drop-area"" style=""
          margin-top: 40px;        
          height: 400px;        
          border: 2px solid #aaa;        
          padding: 10px;       
          font-size: 20px;       
          text-align: center;       
          color: #888;   
          position: relative;   
          ""></div>
          <p style=""font-size:14px; color: gray;"">Remember, previously placed words can be rearranged if needed!</p>
          <style>       
            .draggable {         
            display: inline-block;         
            background: #eef;         
            padding: 10px;         
            border: 1px solid #aaa;         
            border-radius: 4px;         
            cursor: move;         
            font-size: 18px;         
            margin-bottom: 5px;       
          }     
        </style>    
      ",0,,34998,SpAM,furniture-practice,,,"[{""word"":""chair"",""id"":""word-1"",""left"":""540px"",""top"":""191px""},{""word"":""bed"",""id"":""word-2"",""left"":""393px"",""top"":""86px""},{""word"":""couch"",""id"":""word-3"",""left"":""427px"",""top"":""189px""},{""word"":""bench"",""id"":""word-4"",""left"":""490px"",""top"":""269px""}]"
,html-button-response,6,230623,0.0-6.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,1412,"
  <p style=""font-size:20px;"">You have completed the practice round!</p>
  <p style=""font-size:18x;""> Now, you will begin the actual task, consisting of three rounds with different categories.</p>
  <p style=""font-size:18x;""> Again, your first task is to first type in as many items as you can think of that correspond to the given category</p>
  <p style=""font-size:18x;""> within the time limit. Then, you will arrange the items you input previously in the box provided based on how related they are.</p>

  <p style=""font-size:10px;""> ‎</p>
  <p style=""font-size:18px;""> When you're ready, <strong>press begin</strong> to start the verbal fluency task.</p>

  ",0,instructions,34998,,,,,
,html-keyboard-response,7,410626,0.0-7.0-0.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,null,"
    <div id = ""timer-box""></div>
    <div id = ""response-input-box"">
      <p style = ""font-size:30px;"">Name as many ANIMALS as you can.</p>
      <div id = ""responses"">
        <input type = ""text"" class = ""animal-response active"" autofocus />
      </div>
      <p id = ""below-input-text"" style = ""font-size: 14px; margin-top: 10px; color: gray; text-align: left;""> press <strong>enter</strong> after each word!</p>
    </div>
    <style>
      #responses {
      position: relative;
      width: 300px;
      height: 40px; 
      }

      .animal-response {
        position: absolute;
        top: 0;
        left: 0;
        width: 100%;
        font-size: 20px;
        padding: 5px;
        box-sizing: border-box;
        opacity: 0.5;
      } 

      .animal-response.active {
      opacity: 1;
      z-index: 999;
      }
    </style>
    ",null,,34998,VFT,animal,"[{""response"":""cat"",""tag"":1},{""response"":""wolf"",""tag"":2},{""response"":""panda"",""tag"":3},{""response"":""otter"",""tag"":4},{""response"":""tiger"",""tag"":5}]","[2530.2,1626,2132.4,1843.6,1223]",
,html-button-response,8,425178,0.0-8.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,14549,"
  <p style=""font-size:20px;""> <strong>You are moving to the spatial arrangement task.</strong></p>
  <p style=""font-size:16px;""> As a reminder, in this task, you will be shown a set of words.</p>
  <p style=""font-size:16px;""> We need to know how similar you think these words are to one another.</p>
  <p style=""font-size:16px;""> To indicate your perception of similarity, you will move each word</p> 
  <p style=""font-size:16px;""> around so that the similar ones are proportionately closer together.</p>
  <p style=""font-size:16px;""> If the words seem similar, place them close together, if they seem</p>
  <p style=""font-size:16px;""> dissimilar, place them farther away from each other.</p>
  <p style=""font-size:10px;""> ‎</p>
  <p style=""font-size:18px;""> Press begin to start.</p>

  ",0,instructions,34998,,,,,
,html-button-response,9,440010,0.0-9.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,14831,"
        <p style=""font-size:20px;"">Arrange each word to the drop box below based on how related they are to one another.</p> 
        <p style=""font-size:18px;"">A new word will appear after <strong>each word</strong> you move.</p>
        <p style=""font-size:17px;""> When you are finished arranging the space, click on the little Continue button at the bottom of the screen.</p>
        <div id=""word-drop-area"" style=""
          margin-top: 40px;        
          height: 400px;        
          border: 2px solid #aaa;        
          padding: 10px;       
          font-size: 20px;       
          text-align: center;       
          color: #888;   
          position: relative;   
          ""></div>
          <p style=""font-size:14px; color: gray;"">Remember, previously placed words can be rearranged if needed!</p>
          <style>       
            .draggable {         
            display: inline-block;         
            background: #eef;         
            padding: 10px;         
            border: 1px solid #aaa;         
            border-radius: 4px;         
            cursor: move;         
            font-size: 18px;         
            margin-bottom: 5px;       
          }     
        </style>    
      ",0,,34998,SpAM,animal,,,"[{""word"":""cat"",""id"":""word-1"",""left"":""380px"",""top"":""160px""},{""word"":""wolf"",""id"":""word-2"",""left"":""154px"",""top"":""156px""},{""word"":""panda"",""id"":""word-3"",""left"":""619px"",""top"":""312px""},{""word"":""otter"",""id"":""word-4"",""left"":""336px"",""top"":""327px""},{""word"":""tiger"",""id"":""word-5"",""left"":""410px"",""top"":""221px""}]"
,html-button-response,10,503183,0.0-10.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,63171,"
  <p style=""font-size:18px;""> <strong>You will now move to the next category.</strong></p>
  <p style=""font-size:16px;""> As a reminder, in this task, you will type as many words as you can </p> 
  <p style=""font-size:16px;""> think of that correspond to the category presented in capital letters.</p>
  <p style=""font-size:18px;""> Press begin to start.</p>

  ",0,instructions,34998,,,,,
,html-keyboard-response,11,683190,0.0-11.0-0.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,null,"
    <div id = ""timer-box""></div>
    <div id = ""response-input-box"">
      <p style = ""font-size:30px;"">Name as many FOODS as you can.</p>
      <div id = ""responses"">
        <input type = ""text"" class = ""food-response active"" autofocus />
      </div>
      <p id = ""below-input-text"" style = ""font-size: 14px; margin-top: 10px; color: gray; text-align: left;""> press <strong>enter</strong> after each word!</p>
    </div>
    <style>
      #responses {
      position: relative;
      width: 300px;
      height: 40px; 
      }

      .food-response {
        position: absolute;
        top: 0;
        left: 0;
        width: 100%;
        font-size: 20px;
        padding: 5px;
        box-sizing: border-box;
        opacity: 0.5;
      } 

      .food-response.active {
      opacity: 1;
      z-index: 999;
      }
    </style>
    ",null,,34998,VFT,food,"[{""response"":""vread"",""tag"":1},{""response"":""cake"",""tag"":2},{""response"":""tofu"",""tag"":3},{""response"":""apple"",""tag"":4},{""response"":""cherry"",""tag"":5}]","[5386.9,4201,2714.8,8095.6,2644.1]",
,html-button-response,12,693529,0.0-12.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,10336,"
  <p style=""font-size:20px;""> <strong>You are moving to the spatial arrangement task.</strong></p>
  <p style=""font-size:16px;""> As a reminder, in this task, you will be shown a set of words.</p>
  <p style=""font-size:16px;""> We need to know how similar you think these words are to one another.</p>
  <p style=""font-size:16px;""> To indicate your perception of similarity, you will move each word</p> 
  <p style=""font-size:16px;""> around so that the similar ones are proportionately closer together.</p>
  <p style=""font-size:16px;""> If the words seem similar, place them close together, if they seem</p>
  <p style=""font-size:16px;""> dissimilar, place them farther away from each other.</p>
  <p style=""font-size:10px;""> ‎</p>
  <p style=""font-size:18px;""> Press begin to start.</p>

  ",0,instructions,34998,,,,,
,html-button-response,13,706880,0.0-13.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,13349,"
        <p style=""font-size:20px;"">Arrange each word to the drop box below based on how related they are to one another.</p> 
        <p style=""font-size:18px;"">A new word will appear after <strong>each word</strong> you move.</p>
        <p style=""font-size:17px;""> When you are finished arranging the space, click on the little Continue button at the bottom of the screen.</p>
        <div id=""word-drop-area"" style=""
          margin-top: 40px;        
          height: 400px;        
          border: 2px solid #aaa;        
          padding: 10px;       
          font-size: 20px;       
          text-align: center;       
          color: #888;   
          position: relative;   
          ""></div>
          <p style=""font-size:14px; color: gray;"">Remember, previously placed words can be rearranged if needed!</p>
          <style>       
            .draggable {         
            display: inline-block;         
            background: #eef;         
            padding: 10px;         
            border: 1px solid #aaa;         
            border-radius: 4px;         
            cursor: move;         
            font-size: 18px;         
            margin-bottom: 5px;       
          }     
        </style>    
      ",0,,34998,SpAM,food,,,"[{""word"":""vread"",""id"":""word-1"",""left"":""499px"",""top"":""241px""},{""word"":""cake"",""id"":""word-2"",""left"":""418px"",""top"":""249px""},{""word"":""tofu"",""id"":""word-3"",""left"":""403px"",""top"":""120px""},{""word"":""apple"",""id"":""word-4"",""left"":""178px"",""top"":""224px""},{""word"":""cherry"",""id"":""word-5"",""left"":""182px"",""top"":""144px""}]"
,html-button-response,14,708200,0.0-14.0,2,1,2025-07-08 20:51:55,348af30701339f9bbd7c58c3ad0c4853,139.140.216.106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,1318,"<p>You have completed the experiment. Thank you for participating! </p>
      <p> Please click <a href=""https://bit.ly/3t1aLGU"" target=""_blank"" rel=""noopener noreferrer"">here</a> to access the debriefing form and know more about our research.</p>
      <p> Please click the button below to finish the experiment and save your data.</p>
      <p> IMPORTANT: Please do not leave this page without clicking the button below.</p>
        ",0,,,,,,,
,call-function,0,1,0.0-0.0,5,1,2025-07-09 14:22:21,348af30701339f9bbd7c58c3ad0c4853,139.140.223.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Macintosh,Chrome,138.0.0.0,OS X,10_15_7,null,"en-US,en;q=0.9",,,,,,,,,,,
,call-function,0,1,0.0-0.0,7,1,2025-07-10 12:53:46,348af30701339f9bbd7c58c3ad0c4853,139.140.48.190,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Macintosh,Chrome,136.0.0.0,OS X,10_15_7,https://www.google.com/,"en-GB,en-US;q=0.9,en;q=0.8",,,,,,,,,,,
,html-button-response,1,22185,0.0-1.0,7,1,2025-07-10 12:53:46,348af30701339f9bbd7c58c3ad0c4853,139.140.48.190,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Macintosh,Chrome,136.0.0.0,OS X,10_15_7,https://www.google.com/,"en-GB,en-US;q=0.9,en;q=0.8",,22183,"
  <p style=""font-size:20px;""> Thank you for taking part in this experiment!</p>
  <p style=""font-size:20px;""> ‎</p>
  <p style=""font-size:22px;""> <strong>This experiment has two tasks:</strong></p>
  <p style=""font-size:18px;""> <u>In the first task</u>, you will be presented the name of a category and must type 
  <p style=""font-size:18px;""> in as many items that correspond to that category as you can within the time limit. </p>
  <p style=""font-size:18px;""> <u>In the second task</u>, you will move each of the words that you typed in the first </p>
  <p style=""font-size:18px;""> task around so that the similar ones are proportionately closer together.</p>
  <p style=""font-size:18px;""> The experiment will consist of only 3 ""trials,"" so please be as accurate/precise as 
  <p style=""font-size:18px;""> possible when typing in items and placing the objects, rather than trying to speed through.</p>
  <p style=""font-size:20px;""> ‎</p>
  <p style=""font-size:18px;""> Before you get started, we just want to get you familiar with the experiment layout. We'll walk you </p>
  <p style=""font-size:18px;""> through a practice verbal fluency and spatial arrangement task and provide more detailed instructions.</p>


  <p style=""font-size:18px;""> When you are ready to start, <strong>press Continue.</strong></p>

  ",0,instructions,15148,,,,,
